time,Gross Domestic Product (Expenditure) current basic prices index SA,Gross Domestic Product (Income) chained volume index: SA,Gross Domestic Product (Income) current basic prices index SA,Gross Domestic Product (Expenditure) chained volume index: SA,Gross Domestic Product: Year on Year growth: CVM SA %,Gross Domestic Product: Quarter on Quarter growth: CVM SA %,Gross Domestic Product: quarter on quarter growth rate: CP SA %,Gross Domestic Product: q-on-q4 growth quarter growth: CP SA %,Gross Domestic Product: q-on-q4 growth rate CVM SA %,Gross Domestic Product (Income) current basic prices: aligned: SA £m,Gross Domestic Product (Expenditure) chained volume measure SA £m,Gross Domestic Product (Expenditure) current basic prices: aligned:SA £m,Gross Domestic Product at market prices: CP: NSA £m,Gross Domestic Product index: Current price: Seasonally adjusted,Gross Domestic Product: chained volume measures: Seasonally adjusted £m,Gross Domestic Product at market prices: Current price: Seasonally adjusted £m,Gross Domestic Product at market prices:Implied deflator:SA 2017=100,"Gross Domestic Product at market prices, q-on-q4 growth: CP: NSA £m","Gross Domestic Product at market prices, q-on-q1 growth: CP: NSA £m",measure,measure_value
1979 Q1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Productivity hours % change per annum SA,1.1
1979 Q1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Output per hour worked SA: Index 2016 = 100,51.2
1979 Q1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Productivity hours SA: Index 2016 = 100,86.3
1979 Q1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Output per hour worked % change per annum SA,1.3
1979 Q1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Output per hour worked % change quarter on previous quarter SA,-0.9
1979 Q1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Productivity Hours : % change quarter on previous quarter SA,0.2
1979 Q2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Productivity hours % change per annum SA,1.1
1979 Q2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Output per hour worked SA: Index 2016 = 100,53.3
1979 Q2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Productivity hours SA: Index 2016 = 100,86.4
1979 Q2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Output per hour worked % change per annum SA,4.6
1979 Q2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Output per hour worked % change quarter on previous quarter SA,4.1
1979 Q2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Productivity Hours : % change quarter on previous quarter SA,0.1
1979 Q3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Productivity hours % change per annum SA,1.0
1979 Q3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Output per hour worked SA: Index 2016 = 100,52.3
1979 Q3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Productivity hours SA: Index 2016 = 100,86.5
1979 Q3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Output per hour worked % change per annum SA,1.6
1979 Q3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Output per hour worked % change quarter on previous quarter SA,-1.8
1979 Q3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Productivity Hours : % change quarter on previous quarter SA,0.1
1979 Q4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Productivity hours % change per annum SA,0.4
1979 Q4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Output per hour worked SA: Index 2016 = 100,52.8
1979 Q4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Productivity hours SA: Index 2016 = 100,86.4
1979 Q4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Output per hour worked % change per annum SA,2.1
1979 Q4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Output per hour worked % change quarter on previous quarter SA,0.8
1979 Q4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Productivity Hours : % change quarter on previous quarter SA,-0.1
1980 Q1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Productivity hours % change per annum SA,-0.4
1980 Q1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Output per hour worked SA: Index 2016 = 100,52.4
1980 Q1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Productivity hours SA: Index 2016 = 100,86.0
1980 Q1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Output per hour worked % change per annum SA,2.3
1980 Q1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Output per hour worked % change quarter on previous quarter SA,-0.7
1980 Q1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Productivity Hours : % change quarter on previous quarter SA,-0.5
1980 Q2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Productivity hours % change per annum SA,-1.3
1980 Q2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Output per hour worked SA: Index 2016 = 100,52.1
1980 Q2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Productivity hours SA: Index 2016 = 100,85.3
1980 Q2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Output per hour worked % change per annum SA,-2.3
1980 Q2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Output per hour worked % change quarter on previous quarter SA,-0.6
1980 Q2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Productivity Hours : % change quarter on previous quarter SA,-0.8
1980 Q3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Productivity hours % change per annum SA,-2.6
1980 Q3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Output per hour worked SA: Index 2016 = 100,52.6
1980 Q3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Productivity hours SA: Index 2016 = 100,84.2
1980 Q3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Output per hour worked % change per annum SA,0.6
1980 Q3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Output per hour worked % change quarter on previous quarter SA,1.1
1980 Q3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Productivity Hours : % change quarter on previous quarter SA,-1.2
1980 Q4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Productivity hours % change per annum SA,-4.0
1980 Q4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Output per hour worked SA: Index 2016 = 100,52.7
1980 Q4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Productivity hours SA: Index 2016 = 100,83.0
1980 Q4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Output per hour worked % change per annum SA,-0.1
1980 Q4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Output per hour worked % change quarter on previous quarter SA,0.1
1980 Q4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Productivity Hours : % change quarter on previous quarter SA,-1.5
1981 Q1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Productivity hours % change per annum SA,-4.8
1981 Q1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Output per hour worked SA: Index 2016 = 100,53.4
1981 Q1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Productivity hours SA: Index 2016 = 100,81.8
1981 Q1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Output per hour worked % change per annum SA,2.0
1981 Q1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Output per hour worked % change quarter on previous quarter SA,1.3
1981 Q1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Productivity Hours : % change quarter on previous quarter SA,-1.4
1981 Q2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Productivity hours % change per annum SA,-5.1
1981 Q2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Output per hour worked SA: Index 2016 = 100,54.3
1981 Q2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Productivity hours SA: Index 2016 = 100,80.9
1981 Q2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Output per hour worked % change per annum SA,4.3
1981 Q2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Output per hour worked % change quarter on previous quarter SA,1.7
1981 Q2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Productivity Hours : % change quarter on previous quarter SA,-1.1
1981 Q3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Productivity hours % change per annum SA,-4.6
1981 Q3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Output per hour worked SA: Index 2016 = 100,55.3
1981 Q3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Productivity hours SA: Index 2016 = 100,80.3
1981 Q3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Output per hour worked % change per annum SA,5.0
1981 Q3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Output per hour worked % change quarter on previous quarter SA,1.8
1981 Q3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Productivity Hours : % change quarter on previous quarter SA,-0.7
1981 Q4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Productivity hours % change per annum SA,-3.8
1981 Q4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Output per hour worked SA: Index 2016 = 100,55.8
1981 Q4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Productivity hours SA: Index 2016 = 100,79.8
1981 Q4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Output per hour worked % change per annum SA,5.9
1981 Q4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Output per hour worked % change quarter on previous quarter SA,1.0
1981 Q4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Productivity Hours : % change quarter on previous quarter SA,-0.6
1982 Q1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Productivity hours % change per annum SA,-2.7
1982 Q1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Output per hour worked SA: Index 2016 = 100,56.0
1982 Q1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Productivity hours SA: Index 2016 = 100,79.6
1982 Q1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Output per hour worked % change per annum SA,4.8
1982 Q1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Output per hour worked % change quarter on previous quarter SA,0.3
1982 Q1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Productivity Hours : % change quarter on previous quarter SA,-0.3
1982 Q2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Productivity hours % change per annum SA,-2.0
1982 Q2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Output per hour worked SA: Index 2016 = 100,56.9
1982 Q2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Productivity hours SA: Index 2016 = 100,79.3
1982 Q2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Output per hour worked % change per annum SA,4.9
1982 Q2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Output per hour worked % change quarter on previous quarter SA,1.7
1982 Q2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Productivity Hours : % change quarter on previous quarter SA,-0.4
1982 Q3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Productivity hours % change per annum SA,-1.9
1982 Q3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Output per hour worked SA: Index 2016 = 100,57.6
1982 Q3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Productivity hours SA: Index 2016 = 100,78.8
1982 Q3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Output per hour worked % change per annum SA,4.1
1982 Q3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Output per hour worked % change quarter on previous quarter SA,1.1
1982 Q3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Productivity Hours : % change quarter on previous quarter SA,-0.6
1982 Q4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Productivity hours % change per annum SA,-2.0
1982 Q4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Output per hour worked SA: Index 2016 = 100,58.3
1982 Q4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Productivity hours SA: Index 2016 = 100,78.2
1982 Q4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Output per hour worked % change per annum SA,4.4
1982 Q4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Output per hour worked % change quarter on previous quarter SA,1.3
1982 Q4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Productivity Hours : % change quarter on previous quarter SA,-0.7
1983 Q1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Productivity hours % change per annum SA,-2.3
1983 Q1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Output per hour worked SA: Index 2016 = 100,59.8
1983 Q1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Productivity hours SA: Index 2016 = 100,77.8
1983 Q1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Output per hour worked % change per annum SA,6.8
1983 Q1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Output per hour worked % change quarter on previous quarter SA,2.6
1983 Q1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Productivity Hours : % change quarter on previous quarter SA,-0.6
1983 Q2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Productivity hours % change per annum SA,-2.0
1983 Q2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Output per hour worked SA: Index 2016 = 100,60.2
1983 Q2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Productivity hours SA: Index 2016 = 100,77.7
1983 Q2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Output per hour worked % change per annum SA,5.7
1983 Q2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Output per hour worked % change quarter on previous quarter SA,0.6
1983 Q2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Productivity Hours : % change quarter on previous quarter SA,-0.1
1983 Q3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Productivity hours % change per annum SA,-0.8
1983 Q3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Output per hour worked SA: Index 2016 = 100,60.5
1983 Q3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Productivity hours SA: Index 2016 = 100,78.2
1983 Q3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Output per hour worked % change per annum SA,5.1
1983 Q3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Output per hour worked % change quarter on previous quarter SA,0.5
1983 Q3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Productivity Hours : % change quarter on previous quarter SA,0.7
1983 Q4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Productivity hours % change per annum SA,0.8
1983 Q4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Output per hour worked SA: Index 2016 = 100,60.4
1983 Q4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Productivity hours SA: Index 2016 = 100,78.9
1983 Q4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Output per hour worked % change per annum SA,3.7
1983 Q4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Output per hour worked % change quarter on previous quarter SA,-0.1
1983 Q4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Productivity Hours : % change quarter on previous quarter SA,0.8
1984 Q1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Productivity hours % change per annum SA,2.1
1984 Q1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Output per hour worked SA: Index 2016 = 100,60.5
1984 Q1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Productivity hours SA: Index 2016 = 100,79.4
1984 Q1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Output per hour worked % change per annum SA,1.1
1984 Q1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Output per hour worked % change quarter on previous quarter SA,0.1
1984 Q1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Productivity Hours : % change quarter on previous quarter SA,0.7
1984 Q2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Productivity hours % change per annum SA,2.9
1984 Q2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Output per hour worked SA: Index 2016 = 100,59.5
1984 Q2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Productivity hours SA: Index 2016 = 100,79.9
1984 Q2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Output per hour worked % change per annum SA,-1.2
1984 Q2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Output per hour worked % change quarter on previous quarter SA,-1.7
1984 Q2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Productivity Hours : % change quarter on previous quarter SA,0.6
1984 Q3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Productivity hours % change per annum SA,2.7
1984 Q3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Output per hour worked SA: Index 2016 = 100,59.5
1984 Q3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Productivity hours SA: Index 2016 = 100,80.3
1984 Q3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Output per hour worked % change per annum SA,-1.7
1984 Q3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Output per hour worked % change quarter on previous quarter SA,0.0
1984 Q3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Productivity Hours : % change quarter on previous quarter SA,0.5
1984 Q4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Productivity hours % change per annum SA,2.4
1984 Q4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UK Whole Economy: Output per hour worked SA: Index 2016 = 100,60.2
